timestamp,Unnamed: 1,set point pressure,actual pressure,force
739515,49733,0,0,0.0
739515,497331,0,0,0.0
739515,497332,0,0,0.0
739515,497333,0,0,0.0
739515,497334,0,0,0.0
739515,497335,25,11,0.0
739515,497336,45,22,0.0
739515,497337,0,0,0.0
739515,497338,0,0,0.0
739515,497339,19,11,0.0
739515,49734,0,0,0.0
739515,497341,0,0,0.0
739515,497342,38,17,0.0
739515,497343,0,0,0.0
739515,497344,0,0,0.0
739515,497345,0,0,0.0
739515,497346,0,0,0.0
739515,497347,50,25,0.0
739515,497348,0,0,0.0
739515,497349,61,34,0.02
739515,49735,27,36,0.1
739515,497351,48,55,0.13
739515,497352,33,58,0.17
739515,497353,83,86,0.19
739515,497354,63,82,0.2
739515,497355,137,113,0.19
739515,497356,98,91,0.19
739515,497357,41,64,0.19
739515,497358,43,65,0.19
739515,497359,44,64,0.18
739515,49736,16,61,0.18
739515,497361,27,63,0.18
739515,497362,25,62,0.18
739515,497363,119,103,0.17
739515,497364,115,100,0.17
739515,497365,93,81,0.17
739515,497366,157,118,0.17
739515,497367,158,121,0.16
739515,497368,20,52,0.16
739515,497369,81,74,0.16
739515,49737,94,91,0.16
739515,497371,262,217,0.24
739515,497372,187,189,0.33
739515,497373,134,170,0.37
739515,497374,225,212,0.38
739515,497375,256,227,0.39
739515,497376,141,173,0.38
739515,497377,187,193,0.38
739515,497378,273,234,0.38
739515,497379,179,187,0.37
739515,49738,132,166,0.37
739515,497381,249,220,0.37
739515,497382,229,209,0.36
739515,497383,125,160,0.36
739515,497384,224,205,0.36
739515,497385,269,228,0.36
739515,497386,164,177,0.36
739515,497387,136,165,0.36
739515,497388,253,219,0.36
739515,497389,201,194,0.36
739515,49739,118,156,0.35
739515,497391,230,207,0.35
739515,497392,245,215,0.35
739515,497393,202,199,0.35
739515,497394,211,224,0.41
739515,497395,369,328,0.56
739515,497396,313,306,0.6
739515,497397,237,273,0.61
739515,497398,365,334,0.61
739515,497399,357,332,0.62
739515,4974,270,289,0.62
739515,497401,301,304,0.62
739515,497402,386,344,0.61
739515,497403,308,305,0.61
739515,497404,286,297,0.61
739515,497405,366,333,0.61
739515,497406,338,318,0.61
739515,497407,239,273,0.61
739515,497408,304,304,0.61
739515,497409,390,344,0.61
739515,49741,301,301,0.61
739515,497411,238,272,0.61
739515,497412,374,337,0.61
739515,497413,334,316,0.61
739515,497414,235,271,0.61
739515,497415,328,314,0.61
739515,497416,383,340,0.61
739515,497417,328,351,0.66
739515,497418,404,405,0.81
739515,497419,499,456,0.87
739515,49742,431,425,0.88
739515,497421,353,388,0.88
739515,497422,453,434,0.87
739515,497423,492,451,0.87
739515,497424,351,383,0.86
739515,497425,409,410,0.86
739515,497426,493,448,0.85
739515,497427,409,408,0.85
739515,497428,342,377,0.85
739515,497429,449,427,0.84
739515,49743,425,414,0.84
739515,497431,342,376,0.84
739515,497432,410,408,0.84
739515,497433,493,446,0.84
739515,497434,401,403,0.84
739515,497435,365,387,0.84
739515,497436,456,429,0.84
739515,497437,418,410,0.84
739515,497438,338,374,0.84
739515,497439,415,410,0.84
739515,49744,517,468,0.87
739515,497441,494,495,1.04
739515,497442,492,506,1.1
739515,497443,616,568,1.13
739515,497444,537,531,1.14
739515,497445,463,497,1.14
739515,497446,542,533,1.14
739515,497447,599,559,1.13
739515,497448,482,504,1.13
739515,497449,508,517,1.13
739515,49745,610,563,1.13
739515,497451,524,522,1.13
739515,497452,457,492,1.12
739515,497453,566,543,1.12
739515,497454,588,552,1.12
739515,497455,473,498,1.12
739515,497456,547,533,1.12
739515,497457,605,560,1.12
739515,497458,516,518,1.12
739515,497459,462,493,1.12
739515,49746,574,546,1.12
739515,497461,551,535,1.12
739515,497462,465,494,1.12
739515,497463,585,561,1.13
739515,497464,697,649,1.28
739515,497465,620,623,1.38
739515,497466,614,626,1.41
739515,497467,700,667,1.42
739515,497468,660,646,1.42
739515,497469,580,608,1.41
739515,49747,668,648,1.4
739515,497471,701,661,1.4
739515,497472,607,617,1.4
739515,497473,611,621,1.39
739515,497474,712,665,1.39
739515,497475,643,632,1.39
739515,497476,583,605,1.39
739515,497477,672,646,1.39
739515,497478,686,652,1.39
739515,497479,595,610,1.39
739515,49748,617,619,1.39
739515,497481,713,665,1.39
739515,497482,591,608,1.38
739515,497483,593,610,1.38
739515,497484,681,650,1.38
739515,497485,674,646,1.38
739515,497486,633,633,1.39
739515,497487,729,715,1.5
739515,497488,821,771,1.65
739515,497489,698,718,1.68
739515,49749,727,734,1.7
739515,497491,807,771,1.7
739515,497492,765,751,1.71
739515,497493,680,711,1.71
739515,497494,765,751,1.71
739515,497495,831,782,1.71
739515,497496,694,716,1.71
739515,497497,733,737,1.71
739515,497498,817,775,1.71
739515,497499,757,746,1.71
739515,4975,683,714,1.71
739515,497501,772,755,1.71
739515,497502,772,755,1.71
739515,497503,687,714,1.71
739515,497504,739,738,1.71
739515,497505,833,783,1.71
739515,497506,749,743,1.71
739515,497507,687,714,1.71
739515,497508,780,758,1.7
739515,497509,776,764,1.7
739515,49751,753,779,1.81
739515,497511,837,834,1.94
739515,497512,931,881,1.98
739515,497513,829,837,2.0
739515,497514,806,828,2.01
739515,497515,938,888,2.01
739515,497516,869,855,2.01
739515,497517,787,821,2.01
739515,497518,880,862,2.02
739515,497519,941,889,2.01
739515,49752,822,835,2.02
739515,497521,864,856,2.01
739515,497522,941,890,2.01
739515,497523,860,852,2.01
739515,497524,784,818,2.01
739515,497525,889,865,2.01
739515,497526,928,883,2.01
739515,497527,811,830,2.01
739515,497528,870,858,2.01
739515,497529,940,889,2.01
739515,49753,853,848,2.01
739515,497531,806,828,2.01
739515,497532,896,870,2.01
739515,497533,954,908,2.05
739515,497534,920,935,2.26
739515,497535,909,939,2.33
739515,497536,933,951,2.35
739515,497537,938,955,2.36
739515,497538,942,958,2.36
739515,497539,945,960,2.36
739515,49754,924,947,2.36
739515,497541,922,946,2.35
739515,497542,923,947,2.35
739515,497543,925,946,2.35
739515,497544,924,946,2.35
739515,497545,928,948,2.35
739515,497546,909,938,2.35
739515,497547,905,935,2.34
739515,497548,906,937,2.34
739515,497549,908,938,2.34
739515,49755,910,939,2.34
739515,497551,900,933,2.34
739515,497552,916,941,2.34
739515,497553,900,933,2.34
739515,497554,901,932,2.34
739515,497555,897,930,2.34
739515,497556,939,960,2.35
739515,497557,1023,1023,2.42
739515,497558,1023,1023,2.52
739515,497559,984,1003,2.56
739515,49756,1023,1023,2.6
739515,497561,1023,1023,2.62
739515,497562,1023,1023,2.62
739515,497563,1010,1017,2.63
739515,497564,1023,1023,2.63
739515,497565,1009,1018,2.63
739515,497566,1023,1023,2.63
739515,497567,1014,1021,2.63
739515,497568,1023,1023,2.63
739515,497569,1023,1023,2.62
739515,49757,1023,1023,2.62
739515,497571,1023,1023,2.62
739515,497572,1004,1013,2.62
739515,497573,1023,1023,2.62
739515,497574,1014,1021,2.62
739515,497575,1023,1023,2.62
739515,497576,1015,1018,2.62
739515,497577,1023,1023,2.62
739515,497578,1007,1017,2.62
739515,497579,962,951,2.54
739515,49758,426,502,1.72
739515,497581,74,64,0.51
739515,497582,0,0,0.02
739515,497583,0,0,0.0
739515,497584,19,12,0.0
739515,497585,17,11,0.0
739515,497586,0,0,0.0
739515,497587,0,0,0.0
739515,497588,16,6,0.0
739515,497589,0,0,0.0
739515,49759,0,0,0.0
739515,497591,46,23,0.0
739515,497592,26,13,0.0
739515,497593,0,0,0.0
739515,497594,0,0,0.0
739515,497595,25,10,0.0
739515,497596,0,0,0.0
739515,497597,49,24,0.0
739515,497598,0,0,0.0
739515,497599,0,0,0.0
